アイリッシュウルフハウンド,あいりっしゅうるふはうんど
アイリッシュセッター,あいりっしゅせったー
アキタイヌ,あきたいぬ
アフガンハウンド,あふがんはうんど
アメリカンコッカースパニエル,あめりかんこっかーすぱにえる
アメリカンスタッフォードシャーテリア,あめりかんすたっふぉーどしゃーてりあ
アメリカンピットブルテリア,あめりかんぴっとぶるてりあ
アラスカンマラミュート,あらすかんまらみゅーと
イタリアングレーハウンド,いたりあんぐれーはうんど
イングリッシュコッカースパニエル,いんぐりっしゅこっかーすぱにえる
イングリッシュスプリンガースパニエル,いんぐりっしゅすぷりんがーすぱにえる
イングリッシュセッター,いんぐりっしゅせったー
イングリッシュポインター,いんぐりっしゅぽいんたー
ウィペットウェルシュコーギーペンブローク,うぃぺっとうぇるしゅこーぎーぺんぶろーく
ウェルシュコーギーカーディガン,うぇるしゅこーぎーかーでぃがん
ウェルシュテリア,うぇるしゅてりあ
ウエストハイランドホワイトテリア,うえすとはいらんどほわいとてりあ
エアデールテリア,えあでーるてりあ
オーストラリアンケルピー,おーすとらりあんけるぴー
オールドイングリッシュシープドッグ,おーるどいんぐりっしゅしーぷどっぐ
カーリーコーテッドレトリバー,かーりーこーてっどれとりばー
カイケン,かいけん
カニンヘンダックスフンド,かにんへんだっくすふんど
キースホンド,きーすほんど
キシュウケン,きしゅうけん
キャバリアグレートデン,きゃばりあぐれーとでん
グレートピレニーズ,ぐれーとぴれにーず
ケアーンテリア,けあーんてりあ
ケリーブルーテリア,けりーぶるーてりあ
コーイケルホンディエコモンドール,こーいけるほんでぃえこもんどーる
ゴールデンレトリバー,ごーるでんれとりばー
サモエド,さもえど
サルーキ,さるーき
シーズー,しーずー
シーリハムテリア,しーりはむてりあ
シェットランドシープドッグ,しぇっとらんどしーぷどっぐ
シコクケン,しこくけん
シバイヌ,しばいぬ
シベリアンハスキー,しべりあんはすきー
シャーペイ,しゃーぺい
ジャーマン・シェパード・ドッグ,じゃーまん・しぇぱーど・どっぐ
ジャーマンピンシャー,じゃーまんぴんしゃー
ジャイアントシュナウザー,じゃいあんとしゅなうざー
ジャックラッセルテリア,じゃっくらっせるてりあ
スキッパーキ,すきっぱーき
スコティッシュテリア,すこてぃっしゅてりあ
スタッフォードシャーブルテリア,すたっふぉーどしゃーぶるてりあ
スタッフィー,すたっふぃー
シュナウザー,しゅなうざー
ダックスフンド,だっくすふんど
プードル,ぷーどる
スムースコートチワワ,すむーすこーとちわわ
セントバーナード,せんとばーなーど
タイニープードル,たいにーぷーどる
ダルメシアン,だるめしあん
チェサピークベイレトリバー,ちぇさぴーくべいれとりばー
チベタンスパニエル,ちべたんすぱにえる
チャイニーズ・クレステッド・ドッグ,ちゃいにーず・くれすてっど・どっぐ
チャウチャウ,ちゃうちゃう
チワワ,ちわわ
チン,ちん
ティーカッププードル,てぃーかっぷぷーどる
トイプードル,といぷーどる
トイマンチェスターテリア,といまんちぇすたーてりあ
トサケン,とさけん
ドーベルマン,どーべるまん
二ホンスピッツ,二ほんすぴっつ
二ホンテリア,二ほんてりあ
ニューファンドランド,にゅーふぁんどらんど
ノーフォークテリア,のーふぉーくてりあ
ノーリッチテリア,のーりっちてりあ
バーニーズ・マウンテン・ドッグ,ばーにーず・まうんてん・どっぐ
バセットハウンド,ばせっとはうんど
バセンジー,ばせんじー
パグ,ぱぐ
パピヨン,ぱぴよん
ビーグル,びーぐる
ビアデッドコリー,びあでっどこりー
ビションフリーゼ,びしょんふりーぜ
フラットコーテッドレトリバー,ふらっとこーてっどれとりばー
フレンチブルドッグ,ふれんちぶるどっぐ
ブービエ・デ・フランダースブリアード,ぶーびえ・で・ふらんだーすぶりあーど
ブリタニースパニエル,ぶりたにーすぱにえる
ブリュッセルグリフォン,ぶりゅっせるぐりふぉん
ブルドッグ,ぶるどっぐ
プチバセットグリフォンバンデーン,ぷちばせっとぐりふぉんばんでーん
プチブラバンソン,ぷちぶらばんそん
ベルジアングリフォン,べるじあんぐりふぉん
ペキニーズ,ぺきにーず
ホッカイドウケン,ほっかいどうけん
ボーダーコリー,ぼーだーこりー
ボクサー,ぼくさー
ボストンテリア,ぼすとんてりあ
ボルゾイ,ぼるぞい
ボロニーズ,ぼろにーず
ポメラニアン,ぽめらにあん
ポリッシュローランドシープドッグ,ぽりっしゅろーらんどしーぷどっぐ
マメシバ,まめしば
マルチーズ,まるちーず
マンチェスターテリア,まんちぇすたーてりあ
ミディアムプードル,みでぃあむぷーどる
ミニチュアシュナウザー,みにちゅあしゅなうざー
ミニチュアダックスフンド,みにちゅあだっくすふんど
ミニチュアピンシャー,みにちゅあぴんしゃー
ミニチュアブルテリア,みにちゅあぶるてりあ
ミニチュアプードル,みにちゅあぷーどる
ヨークシャーテリア,よーくしゃーてりあ
ラサアプソ,らさあぷそ
ラフコリー,らふこりー
ラブラドールレトリバー,らぶらどーるれとりばー
レークランドテリア,れーくらんどてりあ
レオンベルガー,れおんべるがー
ロットワイラー,ろっとわいらー
ロングコートチワワ,ろんぐこーとちわわ
ワイアーフォックステリア,わいあーふぉっくすてりあ
ワイマラナー,わいまらなー
